scenario,Fishing,Warming,type,species,seed,term,estimate,std.error,statistic,p.value,scenario2,scenario3
Fished_NoWarming_ctrl_flatfish_3,Fishing,No Warming,ctrl,flatfish,3,temp,7.95883934265391e-17,1.3611191127704292e-16,0.5847276162667677,0.5600746853745641,Fished_NoWarming_ctrl_flatfish,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_flatfish_30,Fishing,No Warming,ctrl,flatfish,30,temp,7.255994066159242e-17,1.7127835878922065e-16,0.423637528842079,0.6727585371126564,Fished_NoWarming_ctrl_flatfish,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_flatfish_4,Fishing,No Warming,ctrl,flatfish,4,temp,-1.0142793941868042e-16,1.875431210380857e-16,-0.5408246319953411,0.5898556367191399,Fished_NoWarming_ctrl_flatfish,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_flatfish_5,Fishing,No Warming,ctrl,flatfish,5,temp,-1.1949457915059728e-16,1.4153452606155854e-16,-0.8442786539492472,0.40057000874788573,Fished_NoWarming_ctrl_flatfish,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_flatfish_6,Fishing,No Warming,ctrl,flatfish,6,temp,-1.9662190669925925e-16,1.7046764405944888e-16,-1.1534265507341048,0.251540733599416,Fished_NoWarming_ctrl_flatfish,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_flatfish_7,Fishing,No Warming,ctrl,flatfish,7,temp,7.553884289312436e-17,1.4840143064649606e-16,0.5090169452143884,0.6118845044680272,Fished_NoWarming_ctrl_flatfish,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_flatfish_8,Fishing,No Warming,ctrl,flatfish,8,temp,2.4055543394674545e-16,1.5613208555156068e-16,1.5407174835136948,0.12660843844274458,Fished_NoWarming_ctrl_flatfish,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_flatfish_9,Fishing,No Warming,ctrl,flatfish,9,temp,-4.1732984378258064e-17,1.3952066117253882e-16,-0.29911687650798036,0.7654842753236971,Fished_NoWarming_ctrl_flatfish,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_sardine_1,Fishing,No Warming,ctrl,sardine,1,temp,2.271310316547298e-16,6.507000205104487e-16,0.3490564384438691,0.7277958090322008,Fished_NoWarming_ctrl_sardine,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_sardine_10,Fishing,No Warming,ctrl,sardine,10,temp,3.627080974915425e-16,6.813236280259611e-16,0.5323580198479803,0.595683002568423,Fished_NoWarming_ctrl_sardine,Fished_NoWarming_ctrl
