species,F_longterm,total_warming,scenario,seed,term,estimate,std.error,statistic,p.value
cod,0,0.285714285714286,Fished_Warming_full,1,temp,0.02477286988644403,1.642327506999585e-4,150.84001078263796,7.764746294847566e-118
cod,0,0.285714285714286,Fished_Warming_full,2,temp,0.024759914512887865,1.9297647489931253e-4,128.30535186118726,5.524146570041053e-111
cod,0,0.285714285714286,Fished_Warming_full,3,temp,0.02458964558246836,2.506619532925397e-4,98.09883494273483,1.1988962988259473e-99
cod,0,0.285714285714286,Fished_Warming_full,4,temp,0.025030512712083144,6.076556026210564e-5,411.919393224003,1.6275449648834488e-160
cod,0,0.285714285714286,Fished_Warming_full,5,temp,0.0246948157140764,2.096030460576059e-4,117.81706505968162,2.231909755809228e-107
cod,0,0.285714285714286,Fished_Warming_noRL,1,temp,0.024772869886444237,1.6423275069996332e-4,150.84001078263478,7.764746294863457e-118
cod,0,0.285714285714286,Fished_Warming_noRL,2,temp,0.024759914512887136,1.9297647489929136e-4,128.30535186119755,5.524146569998031e-111
cod,0,0.285714285714286,Fished_Warming_noRL,3,temp,0.02458964558247045,2.5066195329261944e-4,98.09883494271197,1.1988962988530054e-99
cod,0,0.285714285714286,Fished_Warming_noRL,4,temp,0.025030512712082693,6.076556026208966e-5,411.9193932241039,1.6275449648444072e-160
cod,0,0.285714285714286,Fished_Warming_noRL,5,temp,0.024694815714076862,2.0960304605761895e-4,117.81706505967651,2.2319097558186175e-107
cod,0,0.380952380952381,Fished_Warming_full,1,temp,0.02476182737815896,1.568071291753982e-4,157.9126376994082,8.867646358752038e-120
cod,0,0.380952380952381,Fished_Warming_full,2,temp,0.0247383782571858,1.889454752317613e-4,130.9286619689707,7.687689750059813e-112
cod,0,0.380952380952381,Fished_Warming_full,3,temp,0.024588663084317508,2.363761490386142e-4,104.02345238436357,4.0410234398605895e-102
cod,0,0.380952380952381,Fished_Warming_full,4,temp,0.025041289015368413,5.920299419020496e-5,422.9733539306607,1.2164237089837737e-161
cod,0,0.380952380952381,Fished_Warming_full,5,temp,0.024682051045614908,2.0069862355565163e-4,122.98066926587981,3.4293714957998097e-109
cod,0,0.380952380952381,Fished_Warming_noRL,1,temp,0.024761827378159133,1.5680712917539848e-4,157.91263769940903,8.867646358748006e-120
cod,0,0.380952380952381,Fished_Warming_noRL,2,temp,0.024738378257185868,1.8894547523177354e-4,130.92866196896256,7.687689750106137e-112
cod,0,0.380952380952381,Fished_Warming_noRL,3,temp,0.02458866308431599,2.3637614903856795e-4,104.02345238437748,4.041023439807981e-102
cod,0,0.380952380952381,Fished_Warming_noRL,4,temp,0.025041289015368198,5.9202994190248004e-5,422.97335393034956,1.2164237090714508e-161
cod,0,0.380952380952381,Fished_Warming_noRL,5,temp,0.024682051045613763,2.0069862355563735e-4,122.98066926588285,3.4293714957915242e-109
cod,0,0.476190476190476,Fished_Warming_full,1,temp,0.024758100051238158,1.4859086454676088e-4,166.61926106128075,4.698821016244711e-122
cod,0,0.476190476190476,Fished_Warming_full,2,temp,0.02472312803106312,1.8358583659301394e-4,134.6679487365417,4.941541962441209e-113
cod,0,0.476190476190476,Fished_Warming_full,3,temp,0.024596729076197227,2.2186606669341775e-4,110.86296089697143,8.2966773701154e-105
cod,0,0.476190476190476,Fished_Warming_full,4,temp,0.025049679926045513,5.694669407084902e-5,439.8794404971162,2.6177625142554627e-163
cod,0,0.476190476190476,Fished_Warming_full,5,temp,0.024677979919652947,1.9082741182138187e-4,129.3209381404387,2.562456355848395e-111
cod,0,0.476190476190476,Fished_Warming_noRL,1,temp,0.02475810005123827,1.485908645467831e-4,166.61926106125657,4.6988210163112213e-122
cod,0,0.476190476190476,Fished_Warming_noRL,2,temp,0.024723128031065498,1.8358583659304245e-4,134.66794873653373,4.9415419624695815e-113
cod,0,0.476190476190476,Fished_Warming_noRL,3,temp,0.024596729076196363,2.2186606669341745e-4,110.86296089696768,8.296677370142522e-105
cod,0,0.476190476190476,Fished_Warming_noRL,4,temp,0.025049679926043577,5.694669407088909e-5,439.87944049677276,2.617762514455752e-163
cod,0,0.476190476190476,Fished_Warming_noRL,5,temp,0.024677979919651132,1.9082741182140293e-4,129.32093814041494,2.5624563558942808e-111
cod,0,0.571428571428571,Fished_Warming_full,1,temp,0.02475997638761244,1.4010964157001952e-4,176.71857632466137,1.4984174110287263e-124
cod,0,0.571428571428571,Fished_Warming_full,2,temp,0.024713953876195606,1.7724523429843076e-4,139.43367207596853,1.6647033037608334e-114
cod,0,0.571428571428571,Fished_Warming_full,3,temp,0.02461060548499542,2.077563594709867e-4,118.45897544441861,1.3152713516463191e-107
cod,0,0.571428571428571,Fished_Warming_full,4,temp,0.025055532860855795,5.423309662728704e-5,461.99709068888507,2.1427941097706766e-165
cod,0,0.571428571428571,Fished_Warming_full,5,temp,0.024680653597180253,1.8058009435503963e-4,136.67427567434686,1.1688378237997616e-113
cod,0,0.571428571428571,Fished_Warming_noRL,1,temp,0.024759976387610544,1.4010964157000968e-4,176.71857632466023,1.4984174110296629e-124
cod,0,0.571428571428571,Fished_Warming_noRL,2,temp,0.02471395387619467,1.7724523429841119e-4,139.43367207597865,1.6647033037490048e-114
cod,0,0.571428571428571,Fished_Warming_noRL,3,temp,0.024610605484993563,2.0775635947094503e-4,118.45897544443343,1.3152713516303185e-107
